
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep 1600/3000 | Avg_Score:      3 | Avg_Pieces: 29 | Avg_Lines: 0 | Avg_Loss: 467.2349 | ε: 0.457
Ep 1610/3000 | Avg_Score:     12 | Avg_Pieces: 29 | Avg_Lines: 1 | Avg_Loss: 356.2810 | ε: 0.454
Ep 1620/3000 | Avg_Score:      7 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 389.9136 | ε: 0.451
Ep 1630/3000 | Avg_Score:     20 | Avg_Pieces: 34 | Avg_Lines: 2 | Avg_Loss: 341.3409 | ε: 0.447
Ep 1640/3000 | Avg_Score:      7 | Avg_Pieces: 29 | Avg_Lines: 1 | Avg_Loss: 313.9355 | ε: 0.444
Ep 1650/3000 | Avg_Score:      7 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 370.7471 | ε: 0.441
Ep 1660/3000 | Avg_Score:     10 | Avg_Pieces: 31 | Avg_Lines: 1 | Avg_Loss: 314.7268 | ε: 0.437
Ep 1670/3000 | Avg_Score:      4 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 393.9679 | ε: 0.434
Ep 1680/3000 | Avg_Score:      7 | Avg_Pieces: 30 | Avg_Lines: 0 | Avg_Loss: 357.7649 | ε: 0.430
Ep 1690/3000 | Avg_Score:     13 | Avg_Pieces: 32 | Avg_Lines: 1 | Avg_Loss: 330.4372 | ε: 0.427
Ep 1700/3000 | Avg_Score:      8 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 338.0293 | ε: 0.424
Ep 1710/3000 | Avg_Score:      7 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 357.1999 | ε: 0.420
New best score: 135 (< 1000, chưa lưu file)
Ep 1720/3000 | Avg_Score:     24 | Avg_Pieces: 32 | Avg_Lines: 2 | Avg_Loss: 395.7632 | ε: 0.417
Ep 1730/3000 | Avg_Score:      8 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 378.9264 | ε: 0.413
